"sid","sinc","dept","scode","stitle","pcode","sem","ord","tp","part","sbatch","credits","my","totmax","ciamax","seemax","tstatus","valcode","facid","OMR"
"771","0","CHE","23CHMAL233","PHYSICAL CHEMISTRY - I","62","3","7","T","2","2024","3","NOV-2025","100","30","70","0",,"3126","0"
"772","0","CHE","23CHMAL234","INORGANIC AND PHYSICAL CHEMISTRY","62","3","8","T","2","2024","3","NOV-2025","100","30","70","0",,"3126","0"
"773","0","PHY","23PHMIL231","WAVE OPTICS","62","3","9","T","2","2024","3","NOV-2025","100","30","70","0",,"3127","0"
"774","0","CHE","23CHMAP231","ORGANIC QUALITATIVE ANALYSIS LAB","62","3","10","L","2","2024","1","NOV-2025","50","15","35","0",,"5029","0"
"775","0","CHE","23CHMAP232","ORGANIC PREPARATIONS LAB","62","3","11","L","2","2024","1","NOV-2025","50","15","35","0",,"2060","0"
"776","0","CHE","23CHMAP233","PHYSICAL CHEMISTRY-I LAB","62","3","12","L","2","2024","1","NOV-2025","50","15","35","0",,"3126","0"
"777","0","CHE","23CHMAP234","QUALITATIVE INORGANIC ANALYSIS LAB","62","3","13","L","2","2024","1","NOV-2025","50","15","35","0",,"3126","0"
"778","0","PHY","23PHMIP231","WAVE OPTICS LAB","62","3","14","L","2","2024","1","NOV-2025","50","15","35","0",,"3011","0"
"779","0","ENG","23ENSDL201","COMMUNICATION SKILLS FOR EMPLOYABILITY-I","62","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"5011","0"
"780","0","ENG","23ENSDL202","COMMUNICATION SKILLS FOR EMPLOYABILITY-II","62","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"5011","0"
"781","0","PHY","23PHMAL231","WAVE OPTICS","63","3","5","T","2","2024","3","NOV-2025","100","30","70","0",,"5032","0"
"782","0","PHY","23PHMAL232","HEAT AND THERMODYNAMICS","63","3","6","T","2","2024","3","NOV-2025","100","30","70","0",,"3061","0"
"783","0","PHY","23PHMAL233","ELECTRONIC DEVICES AND CIRCUITS","63","3","7","T","2","2024","3","NOV-2025","100","30","70","0",,"3076","0"
"784","0","PHY","23PHMAL234","ANALOG AND DIGITAL ELECTRONICS","63","3","8","T","2","2024","3","NOV-2025","100","30","70","0",,"3011","0"
"785","0","MAT","23MAMIL231","LAPLACE TRANSFORMS","63","3","9","T","2","2024","4","NOV-2025","100","30","70","0",,"3052","0"
"786","0","PHY","23PHMAP231","WAVE OPTICS LAB","63","3","10","L","2","2024","1","NOV-2025","50","15","35","0",,"3011","0"
"787","0","PHY","23PHMAP232","HEAT AND THERMODYNAMICS LAB","63","3","11","L","2","2024","1","NOV-2025","50","15","35","0",,"3061","0"
"788","0","PHY","23PHMAP233","ELECTRONIC DEVICES AND CIRCUITS LAB","63","3","12","L","2","2024","1","NOV-2025","50","15","35","0",,"3076","0"
"789","0","PHY","23PHMAP234","ANALOG AND DIGITAL ELECTRONICS LAB","63","3","13","L","2","2024","1","NOV-2025","50","15","35","0",,"3127","0"
"790","0","ENG","23ENSDL201","COMMUNICATION SKILLS FOR EMPLOYABILITY-I","63","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"2001","0"
"791","0","ENG","23ENSDL202","COMMUNICATION SKILLS FOR EMPLOYABILITY-II","63","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"2001","0"
"792","0","PHY","23PHVAP201","PYTHON PROGRAMMING FOR PHYSICS LAB","63","3","25","EP","4","2024","2","NOV-2025","50","15","35","0",,"3011","0"
"793","0","ELE","23ELMAL231","DIGITAL ELECTRONICS","64","3","5","T","2","2024","3","NOV-2025","100","30","70","0",,"3158","0"
"794","0","ELE","23ELMAL232","ANALOG ELECTRONICS","64","3","6","T","2","2024","3","NOV-2025","100","30","70","0",,"3158","0"
"795","0","ELE","23ELMAL233","ELCTRONIC COMMUNICATION SYSTEMS","64","3","7","T","2","2024","3","NOV-2025","100","30","70","0",,"3013","0"
"796","0","ELE","23ELMAL234","SEMICONDUCTOR DEVICES AND MATERIALS","64","3","8","T","2","2024","3","NOV-2025","100","30","70","0",,"3013","0"
"797","0","CSC","23CSMIL231","OBJECT ORIENTED PROGRAMMING USING JAVA","64","3","9","T","2","2024","3","NOV-2025","100","30","70","0",,"2023","0"
"798","0","ELE","23ELMAP231","DIGITAL ELECTRONICS LAB","64","3","10","L","2","2024","1","NOV-2025","50","15","35","0",,"3158","0"
"799","0","ELE","23ELMAP232","ANALOG ELECTRONICS LAB","64","3","11","L","2","2024","1","NOV-2025","50","15","35","0",,"3158","0"
"800","0","ELE","23ELMAP233","ELCTRONIC COMMUNICATION SYSTEMS LAB","64","3","12","L","2","2024","1","NOV-2025","50","15","35","0",,"3013","0"
"801","0","ELE","23ELMAP234","SEMICONDUCTOR DEVICES AND MATERIALS LAB","64","3","13","L","2","2024","1","NOV-2025","50","15","35","0",,"3013","0"
"802","0","CSC","23CSMIP231","OBJECT ORIENTED PROGRAMMING USING JAVA LAB","64","3","14","L","2","2024","1","NOV-2025","50","15","35","0",,"2023","0"
"803","0","COM","23COMDL201","PRINCIPLES OF ACCOUNTING","64","3","15","G","3","2024","2","NOV-2025","50","15","35","0",,"3100","0"
"804","0","ENG","23ENSDL201","COMMUNICATION SKILLS FOR EMPLOYABILITY-I","64","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"5012","0"
"805","0","ENG","23ENSDL202","COMMUNICATION SKILLS FOR EMPLOYABILITY-II","64","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"5012","0"
"806","0","STA","23STMAL231","DISCRETE PROBABILITY DISTRIBUTIONS","65","3","5","T","2","2024","3","NOV-2025","100","30","70","0",,"3119","0"
"807","0","STA","23STMAL232","CONTINUOUS PROBABILITY DISTRIBUTIONS","65","3","6","T","2","2024","3","NOV-2025","100","30","70","0",,"2011","0"
"808","0","STA","23STMAL233","STATISTICAL METHODS ","65","3","7","T","2","2024","3","NOV-2025","100","30","70","0",,"3034","0"
"809","0","STA","23STMAL234","INFERENTIAL STATISTICS ","65","3","8","T","2","2024","3","NOV-2025","100","30","70","0",,"3036","0"
"810","0","DSAI","23DSMIL231","PYTHON  FOR DATA ANALYSIS","65","3","9","T","2","2024","3","NOV-2025","100","30","70","0",,"3155","0"
"811","0","STA","23STMAP231","DISCRETE PROBABILITY DISTRIBUTIONS USING R LAB","65","3","10","L","2","2024","1","NOV-2025","50","15","35","0",,"3119","0"
"812","0","STA","23STMAP232","CONTINUOUS PROBABILITY DISTRIBUTIONS USING R LAB","65","3","11","L","2","2024","1","NOV-2025","50","15","35","0",,"3034","0"
"813","0","STA","23STMAP233","STATISTICAL METHODS LAB","65","3","12","L","2","2024","1","NOV-2025","50","15","35","0",,"3034","0"
"814","0","STA","23STMAP234","INFERENTIAL STATISTICS  LAB","65","3","13","L","2","2024","1","NOV-2025","50","15","35","0",,"3036","0"
"815","0","DSAI","23DSMIP231","PYTHON  FOR DATA ANALYSIS LAB","65","3","14","L","2","2024","1","NOV-2025","50","15","35","0",,"3155","0"
"816","0","COM","23COMDL201","PRINCIPLES OF ACCOUNTING ","65","3","15","G","3","2024","2","NOV-2025","50","15","35","0",,"3055","0"
"817","0","ENG","23ENSDL201","COMMUNICATION SKILLS FOR EMPLOYABILITY-I","65","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"5012","0"
"818","0","ENG","23ENSDL202","COMMUNICATION SKILLS FOR EMPLOYABILITY-II","65","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"5012","0"
"819","0","CSC","23CSMAL231","DATA STRUCTURES","71","3","5","T","2","2024","3","NOV-2025","100","30","70","0",,"2031","0"
"820","0","CSC","23CSMAL232","OBJECT ORIENTED PRGORAMMING USING JAVA","71","3","6","T","2","2024","3","NOV-2025","100","30","70","0",,"2020","0"
"821","0","ELE","23ELMAL235","DIGITAL ELECTRONICS","71","3","7","T","2","2024","3","NOV-2025","100","30","70","0",,"3014","0"
"822","0","STA","23STMAL235","DESCRIPTIVE STATISTICS AND PROBABILITY","71","3","8","T","2","2024","3","NOV-2025","100","30","70","0",,"2013","0"
"823","0","DSAI","23DSMIL231","PYTHON  FOR DATA ANALYSIS","71","3","9","T","2","2024","3","NOV-2025","100","30","70","0",,"3173","0"
"824","0","CSC","23CSMAP231","DATA STRUCTURES LAB","71","3","10","L","2","2024","1","NOV-2025","50","15","35","0",,"2031","0"
"825","0","CSC","23CSMAP232","OBJECT ORIENTED PROGRAMMING USING JAVA LAB","71","3","11","L","2","2024","1","NOV-2025","50","15","35","0",,"3129","0"
"826","0","ELE","23ELMAP235","DIGITAL ELECTRONICS LAB","71","3","12","L","2","2024","1","NOV-2025","50","15","35","0",,"3013","0"
"827","0","STA","23STMAP235","DESCRIPTIVE STATISTICS AND PROBABILITY LAB","71","3","13","L","2","2024","1","NOV-2025","50","15","35","0",,"2013","0"
"828","0","DSAI","23DSMIP231","PYTHON  FOR DATA ANALYSIS LAB","71","3","14","L","2","2024","1","NOV-2025","50","15","35","0",,"3173","0"
"829","0","COM","23COMDL201","PRINCIPLES OF ACCOUNTING","71","3","15","G","3","2024","2","NOV-2025","50","15","35","0",,"3080","0"
"830","0","MAT","23MASDL201","QUANTITATIVE APTITUDE","71","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"3004","0"
"831","0","MAT","23MASDL202","REASONING","71","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"3004","0"
"832","0","CSC","23CSMAL231","DATA STRUCTURES","72","3","5","T","2","2024","3","NOV-2025","100","30","70","0",,"3043","0"
"833","0","CSC","23CSMAL232","OBJECT ORIENTED PRGORAMMING USING JAVA","72","3","6","T","2","2024","3","NOV-2025","100","30","70","0",,"3071","0"
"834","0","ELE","23ELMAL235","DIGITAL ELECTRONCIS","72","3","7","T","2","2024","3","NOV-2025","100","30","70","0",,"3158","0"
"835","0","STA","23STMAL235","DESCRIPTIVE STATISTICS AND PROBABILITY","72","3","8","T","2","2024","3","NOV-2025","100","30","70","0",,"3036","0"
"836","0","DSAI","23DAMIL231","PYTHON FOR DATA ANALYSIS","72","3","9","T","2","2024","3","NOV-2025","100","30","70","0",,"3163","0"
"837","0","CSC","23CSMAP231","DATA STRUCTURES LAB","72","3","10","L","2","2024","1","NOV-2025","50","15","35","0",,"3043","0"
"838","0","CSC","23CSMAP232","OBJECT ORIENTED PROGRAMMING USING JAVA LAB","72","3","11","L","2","2024","1","NOV-2025","50","15","35","0",,"3071","0"
"839","0","ELE","23ELMAP235","DIGITAL ELECTRONICS LAB","72","3","12","L","2","2024","1","NOV-2025","50","15","35","0",,"3158","0"
"840","0","STA","23STMAP235","DESCRIPTIVE STATISTICS AND PROBABILITY LAB","72","3","13","L","2","2024","1","NOV-2025","50","15","35","0",,"3036","0"
"841","0","DSAI","23DAMIP231","PYTHON  FOR DATA ANALYSIS LAB","72","3","14","L","2","2024","1","NOV-2025","50","15","35","0",,"3163","0"
"842","0","COM","23COMDL201","PRINCIPLES OF ACCOUNTING","72","3","15","G","3","2024","2","NOV-2025","50","15","35","0",,"3120","0"
"843","0","MAT","23MASDL201","QUANTITATIVE APTITUDE","72","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"2008","0"
"844","0","MAT","23MASDL202","REASONING","72","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"2008","0"
"845","0","CSC","23CSMAL231","DATA STRUCTURES","73","3","5","T","2","2024","3","NOV-2025","100","30","70","0",,"3115","0"
"846","0","CSC","23CSMAL232","OBJECT ORIENTED PRGORAMMING USING JAVA","73","3","6","T","2","2024","3","NOV-2025","100","30","70","0",,"3107","0"
"847","0","ELE","23ELMAL235","DIGITAL ELECTRONCIS","73","3","7","T","2","2024","3","NOV-2025","100","30","70","0",,"3158","0"
"848","0","STA","23STMAL235","DESCRIPTIVE STATISTICS AND PROBABILITY","73","3","8","T","2","2024","3","NOV-2025","100","30","70","0",,"3065","0"
"849","0","DSAI","23AIMIL231","PYTHON FOR DATA ANALYSIS","73","3","9","T","2","2024","3","NOV-2025","100","30","70","0",,"3173","0"
"850","0","CSC","23CSMAP231","DATA STRUCTURES LAB","73","3","10","L","2","2024","1","NOV-2025","50","15","35","0",,"3115","0"
"851","0","CSC","23CSMAP232","OBJECT ORIENTED PROGRAMMING USING JAVA LAB","73","3","11","L","2","2024","1","NOV-2025","50","15","35","0",,"3107","0"
"852","0","ELE","23ELMAP235","DIGITAL ELECTRONICS LAB","73","3","12","L","2","2024","1","NOV-2025","50","15","35","0",,"3014","0"
"853","0","STA","23STMAP235","DESCRIPTIVE STATISTICS AND PROBABILITY LAB","73","3","13","L","2","2024","1","NOV-2025","50","15","35","0",,"3065","0"
"854","0","DSAI","23AIMIP231","PYTHON FOR DATA ANALYSIS LAB","73","3","14","L","2","2024","1","NOV-2025","50","15","35","0",,"3173","0"
"855","0","COM","23COMDL201","PRINCIPLES OF ACCOUNTING","73","3","15","G","3","2024","2","NOV-2025","50","15","35","0",,"3165","0"
"856","0","MAT","23MASDL201","QUANTITATIVE APTITUDE","73","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"2008","0"
"857","0","MAT","23MASDL202","REASONING","73","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"2008","0"
"858","0","DSAI","23DSMAL231","DATA STRUCTURES USING C","74","3","5","T","2","2024","3","NOV-2025","100","30","70","0",,"6027","0"
"859","0","DSAI","23DSMAL232","DOCUMENT ORIENTED DATABASES","74","3","6","T","2","2024","3","NOV-2025","100","30","70","0",,"4048","0"
"860","0","DSAI","23DSMAL233","OBJECT ORIENTED PROGRAMMING USING JAVA","74","3","7","T","2","2024","3","NOV-2025","100","30","70","0",,"3162","0"
"861","0","MAT","23MAMAL235","LINEAR ALGEBRA AND MATRICES","74","3","8","T","2","2024","4","NOV-2025","100","30","70","0",,"3077","0"
"862","0","STA","23STMIL231","RANDOM VARIABLES AND MATHEMATICAL EXPECTATIONS","74","3","9","T","2","2024","3","NOV-2025","100","30","70","0",,"3166","0"
"863","0","DSAI","23DSMAP231","DATA STRUCTURES LAB","74","3","10","L","2","2024","1","NOV-2025","50","15","35","0",,"6027","0"
"864","0","DSAI","23DSMAP232","DOCUMENT ORIENTED DATABASE LAB","74","3","11","L","2","2024","1","NOV-2025","50","15","35","0",,"4048","0"
"865","0","DSAI","23DSMAP233","OBJECT ORIENTED PROGRAMMING USING JAVA LAB","74","3","12","L","2","2024","1","NOV-2025","50","15","35","0",,"3162","0"
"866","0","STA","23STMIP231","STATISTICAL DATA ANALYSIS USING SPSS LAB","74","3","13","L","2","2024","1","NOV-2025","50","15","35","0",,"3166","0"
"867","0","MAT","23MASDL201","QUANTITATIVE APTITUDE","74","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"3052","0"
"868","0","MAT","23MASDL202","REASONING","74","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"3052","0"
"869","0","DSAI","23DAMAL231","USER INTERFACE DESIGN","75","3","5","T","2","2024","3","NOV-2025","100","30","70","0",,"3163","0"
"870","0","DSAI","23DAMAL232","DOCUMENT ORIENTED DATABASES","75","3","6","T","2","2024","3","NOV-2025","100","30","70","0",,"3150","0"
"871","0","DSAI","23DAMAL233","OBJECT ORIENTED PROGRAMMING USING  JAVA","75","3","7","T","2","2024","3","NOV-2025","100","30","70","0",,"3162","0"
"872","0","MAT","23MAMAL235","LINEAR ALGEBRA AND MATRICES","75","3","8","T","2","2024","4","NOV-2025","100","30","70","0",,"2010","0"
"873","0","STA","23STMIL232","RANDOM VARIABLES AND STATISTICAL METHODS ","75","3","9","T","2","2024","3","NOV-2025","100","30","70","0",,"3065","0"
"874","0","DSAI","23DAMAP231","USER INTERFACE DESIGN LAB","75","3","10","L","2","2024","1","NOV-2025","50","15","35","0",,"3163","0"
"875","0","DSAI","23DAMAP232","DOCUMENT ORIENTED DATABASES LAB","75","3","11","L","2","2024","1","NOV-2025","50","15","35","0",,"3150","0"
"876","0","DSAI","23DAMAP233","OBJECT ORIENTED PROGRAMMING USING  JAVA LAB","75","3","12","L","2","2024","1","NOV-2025","50","15","35","0",,"3162","0"
"877","0","STA","23STMIP232","DATA VISUALIZATION AND STATISTICAL ANALYSIS USING EXCEL LAB","75","3","13","L","2","2024","1","NOV-2025","50","15","35","0",,"3065","0"
"878","0","MAT","23MASDL201","QUANTITATIVE APTITUDE","75","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"3052","0"
"879","0","MAT","23MASDL202","REASONING","75","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"3052","0"
"880","0","CSC","23CGMAL231","DATA STRUCTURES","76","3","5","T","2","2024","3","NOV-2025","100","30","70","0",,"3092","0"
"881","0","CSC","23CGMAL232","DATA BASE MANAGEMENT SYSTEMS","76","3","6","T","2","2024","3","NOV-2025","100","30","70","0",,"3153","0"
"882","0","CSC","23CGMAL233","OBJECT ORIENTED PROGRAMMING USING JAVA","76","3","7","T","2","2024","3","NOV-2025","100","30","70","0",,"2023","0"
"883","0","CSC","23CGMAL234","COMPUTER NETWORKS","76","3","8","T","2","2024","3","NOV-2025","100","30","70","0",,"3015","0"
"884","0","DSAI","23AIMIL231","PYTHON FOR DATA ANALYSIS","76","3","9","T","2","2024","3","NOV-2025","100","30","70","0",,"3170","0"
"885","0","CSC","23CGMAP231","DATA STRUCTURES LAB","76","3","10","L","2","2024","1","NOV-2025","50","15","35","0",,"3092","0"
"886","0","CSC","23CGMAP232","DATA BASE MANAGEMENT SYSTEMS LAB","76","3","11","L","2","2024","1","NOV-2025","50","15","35","0",,"3153","0"
"887","0","CSC","23CGMAP233","OBJECT ORIENTED PROGRAMMING USING JAVA LAB","76","3","12","L","2","2024","1","NOV-2025","50","15","35","0",,"2023","0"
"888","0","CSC","23CGMAP234","COMPUTER NETWORKS LAB","76","3","13","L","2","2024","1","NOV-2025","50","15","35","0",,"3015","0"
"889","0","DSAI","23AIMIP231","PYTHON FOR DATA ANALYSIS LAB","76","3","14","L","2","2024","1","NOV-2025","50","15","35","0",,"3170","0"
"890","0","MAT","23MASDL201","QUANTITATIVE APTITUDE","76","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"2058","0"
"891","0","MAT","23MASDL202","REASONING","76","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"2058","0"
"892","0","STA","23STVAL201","APPLIED STATISTICAL METHODS FOR COGNITIVE SYSTEMS","76","3","25","E","4","2024","2","NOV-2025","50","15","35","0",,"3036","0"
"893","0","DSAI","23AIMAL231","DATA STRUCTURES USING C ","77","3","5","T","2","2024","3","NOV-2025","100","30","70","0",,"3069","0"
"894","0","DSAI","23AIMAL232","DOCUMENT ORIENTED DATABASES ","77","3","6","T","2","2024","3","NOV-2025","100","30","70","0",,"3121","0"
"895","0","DSAI","23AIMAL233","OBJECT ORIENTED PROGRAMMING USING JAVA  ","77","3","7","T","2","2024","3","NOV-2025","100","30","70","0",,"3105","0"
"896","0","STA","23STMAL236","PROBABILITY FOUNDATIONS FOR ARTIFICIAL INTELLIGENCE","77","3","8","T","2","2024","3","NOV-2025","100","30","70","0",,"3059","0"
"897","0","ELE","23IOMIL231","INTRODUCTION TO ARM MICROCONTROLLER","77","3","9","T","2","2024","3","NOV-2025","100","30","70","0",,"3014","0"
"898","0","DSAI","23AIMAP231","DATA STRUCTURES USING C LAB","77","3","10","L","2","2024","1","NOV-2025","50","15","35","0",,"3069","0"
"899","0","DSAI","23AIMAP232","DOCUMENT ORIENTED DATA BASES  LAB","77","3","11","L","2","2024","1","NOV-2025","50","15","35","0",,"3121","0"
"900","0","DSAI","23AIMAP233","OBJECT ORIENTED PROGRAMMING USING JAVA LAB ","77","3","12","L","2","2024","1","NOV-2025","50","15","35","0",,"3105","0"
"901","0","STA","23STMAP236","STATISTICAL DATA ANALYSIS WITH R PROGRAMMING LAB","77","3","13","L","2","2024","1","NOV-2025","50","15","35","0",,"3059","0"
"902","0","ELE","23IOMIP231","MICROPROCESSOR LAB","77","3","14","L","2","2024","1","NOV-2025","50","15","35","0",,"2014","0"
"903","0","MAT","23MASDL201","QUANTITATIVE APTITUDE","77","3","15","G","3","2024","2","NOV-2025","50","15","35","0",,"2058","0"
"904","0","MAT","23MASDL202","REASONING","77","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"2058","0"
